key;types;long_name;standard_name;units;conventions;coordinates;positive;valid_min;valid_max;format;_FillValue;axis;resolution;comment;default_value;flag_values;flag_meanings;reference;coordinate_reference_frame
string;string;string;string;string;string;string;string;numeric;numeric;string;numeric;string;numeric;string;string;string;string;string;string
PHINSA;float32;starboard phins;;;;;;;;%6.3f;;;;;;;;;
PHINSB;float32;portside phins;;;;;;;;%6.3f;;;;;;;;;
PHINST;float32;starboard phins;;;;;;;;%6.3f;;;;;;;;;
PHNS;float32;sediment phenols;;microgram/g;;;;0;200;%5.1f;999.9;;;;;;;;
PHOS;float32;phosphate (po4-p);moles_phosphate_of_nitrate_in_sea_water;millimole/m3;;TIME DEPTH LATITUDE LONGITUDE;;0;4;%6.3f;1E+36;;0.001;;;;;;
PHOW;float32;phosphate (po4-p);moles_of_phosphate_per_unit_mass_in_sea_water;micromole/kg;;TIME DEPTH LATITUDE LONGITUDE;;0;10;%5.3f;1E+36;;0.001;;;;;;
PHPH;float32;ph;;pH unit;;;;7.4;8.4;%5.3f;9.999;;;;;;;;
PHPT;float32;total pheophytin;;milligramm/m3;;TIME DEPTH LATITUDE LONGITUDE;;0;99;%5.2f;1E+36;;0.01;;;;;;
PHTF;float32;phaeopigments vertical flux;;milligram/(m2.day);;;;0;10;%6.3f;99.999;;;;;;;;
PHTP;float32;total pheophytine;;milligram/m3;;;;0;99;%5.2f;99.99;;;;;;;;
PN1P;float32;particulate organic nitrogen;;millimole/m3;;;;0;2;%6.3f;99.999;;;;;;;;
POCF;float32;part. organic carbon flux;;milligram/(m2.day);;;;0;99;%5.2f;99.99;;;;;;;;
POCP;float32;particulate organic carbon/poc;;milligram/m3;;;;0;999;%6.2f;999.99;;;;;;;;
PODW;float32;dissolved organic phosphorus;;micromole/kg;;;;0;5;%5.2f;99.99;;;;;;;;
PONP;float32;particulate organic nitrogen;;milligram/m3;;;;0;100;%6.2f;999.99;;;;;;;;
POTT;float32;total organic phosphorus (d+p);;micromole/kg;;;;0;5;%5.2f;99.99;;;;;;;;
PP1P;float32;part. organic phosphorus (p);;millimole/m3;;;;0;10;%6.3f;99.999;;;;;;;;
PRCW;float32;number of sw prochlorococcus;;10+6 cell/m3;;;;0;900000;%6.0f;999999;;;;;;;;
PREC;float32;corrected sea pressure;;decibar=10000 pascals;;;;0;6500;%6.1f;-999.9;;;;;;;;
PROT;float32;protein;;milligram/m3;;;;0;500;%5.0f;99999;;;;;;;;
PRRT;float32;precipitation rate;;millimeters/hour;;;;0;900;%7.3f;999.999;;;;;;;;
PSA1;float32;practical salinity primary sensor;;pss;;TIME DEPTH LATITUDE LONGITUDE;;33;37;%6.3f;1E+36;;0.001;;;;;;
